query_id,document_id,query_text,phrase_pl,doc_text,document_pl
13,1713,what causes ear infection in adults,co powoduje infekcję ucha u dorosłych,"One of the reasons children are more likely than adults to get ear infections is that their eustachian tubes are smaller and more horizontal than the tubes in most adults. If you have small eustachian tubes or you have tubes that havenât developed more of a slope, youâre at a higher risk for developing an ear infection.","Jednym z powodów, dla których dzieci są bardziej narażone na infekcje ucha niż dorośli, jest to, że ich trąbki słuchowe są mniejsze i bardziej poziome niż trąbki u większości dorosłych. Jeśli masz małe trąbki słuchowe lub masz trąbki, które nie wykształciły większego nachylenia, jesteś w grupie podwyższonego ryzyka rozwoju infekcji ucha."
14,1822,put yourself on child support in texas,złożyć wniosek o alimenty na dziecko w Teksasie,"1 Non-Texas residents can apply for services with the Child Support Division of the Office of the Attorney General of Texas, provided there is a Texas child support order or one of the parties or child(ren) resides in Texas.eginning September 1, 2011, custodial parents will pay a $3 monthly fee in cases that receive registry-only payment processing and record-keeping services through the State Disbursement Unit (SDU) for each month in which a child support payment of more than $3 is received.","1 Osoby niemieszkające w Teksasie mogą ubiegać się o usługi w Wydziale Alimentów na Dziecko Biura Prokuratora Generalnego Teksasu, pod warunkiem że istnieje teksański nakaz zapłaty alimentów na dziecko lub jedna ze stron lub dziecko (dzieci) mieszka w Teksasie.Począwszy od 1 września 2011 roku, rodzice sprawujący opiekę będą płacić miesięczną opłatę w wysokości 3 dolarów w sprawach, w których świadczone są wyłącznie usługi rejestracyjnego przetwarzania płatności i prowadzenia ewidencji przez Jednostkę Rozliczeniową Stanu (SDU), za każdy miesiąc, w którym otrzymana zostanie wpłata alimentów na dziecko przekraczająca 3 dolary."
15,1939,mushrooms health benefits,grzyby korzyści zdrowotne,"Mushrooms are a good source of B vitamins, including riboflavin, niacin, and pantothenic acid, which help to provide energy by breaking down proteins, fats and carbohydrates2. B vitamins also play an important role in the nervous system.","Grzyby są dobrym źródłem witamin z grupy B, w tym ryboflawiny, niacyny i kwasu pantotenowego, które pomagają dostarczać energię poprzez rozkładanie białek, tłuszczów i węglowodanów2. Witaminy z grupy B odgrywają również ważną rolę w układzie nerwowym."
16,2152,what happens in a wrist sprain,co się dzieje przy skręceniu nadgarstka,"A sprained wrist is an injury to the ligaments that connect the small bones of the wrist (called carpal bones) together. The most common ligament injured in the wrist is the scapho-lunate ligament, which connects the scaphoid bone to the lunate bone.","Skręcenie nadgarstka to uraz więzadeł, które łączą ze sobą małe kości nadgarstka (zwane kośćmi nadgarstka). Najczęściej uszkodzonym więzadłem w nadgarstku jest więzadło łódeczkowo-księżycowate, które łączy kość łódeczkowatą z kością księżycowatą."
17,2277,example of culture &sensitivity results,przykład wyników posiewu i antybiogramu,"Culture and Sensitivity â âC & Sâ. Culture: You send a specimen to the lab and the labs job is to tell you what the organism is, a definitive ID based on gram stain, morphology and biochemical profile. Susceptibility: The lab also gives you the info on the antibiotic susceptibilities to know how to treat it.","Posiew i Antybiogram – „P & A”. Posiew: Przesyłasz próbkę do laboratorium, a zadaniem laboratorium jest określenie, jaki to organizm, ostateczna identyfikacja na podstawie barwienia Grama, morfologii i profilu biochemicznego. Wrażliwość: Laboratorium podaje również informacje o wrażliwości na antybiotyki, aby wiedzieć, jak to leczyć."
18,2488,what are rhetorical topics,czym są tematy retoryczne,"The rhetoric of mental health considers how language functions in the production of knowledge on topics such as mental and psychological disorders, chemical imbalances in the brain, and variations on what are considered normal mental faculties.","Retoryka zdrowia psychicznego rozważa, jak język funkcjonuje w wytwarzaniu wiedzy na tematy takie jak zaburzenia psychiczne i psychologiczne, chemiczne nierównowagi w mózgu oraz wariacje na temat tego, co jest uważane za normalne zdolności umysłowe."
19,2599,mode of acquisition,sposób nabycia,"Accretion also abounds as another mode of acquiring a territory under the traditional international law. Notably, accretion involves the effect of natural forces such as volcanism. For instance, in cases where natural activities such as volcanism takes place and volcanic islands emerge in a stateâs territorial waters, it would have the right to acquire territory.","Akrecja również obficie występuje jako kolejny sposób nabycia terytorium w ramach tradycyjnego prawa międzynarodowego. Warto zauważyć, że akrecja obejmuje efekt działania sił przyrody, takich jak wulkanizm. Na przykład, w przypadkach gdy mają miejsce naturalne aktywności, takie jak wulkanizm, i wulkaniczne wyspy pojawiają się na wodach terytorialnych państwa, miałoby ono prawo do nabycia terytorium."
20,2704,how beautiful on the mountain are the feet,jak piękne na górze są stopy,"Isaiah 52:7 (ASV) How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace, that bringeth good tidings of good, that publisheth salvation, that saith unto Zion, Thy God reigneth!eshayah 52:7 (OJB) How beautiful upon the mountains are the feet of the Mevaser (bringer of Good Tidings, the Evangelist), that publisheth shalom; that bringeth good tidings of tov, that publisheth Yeshuah (Salvation); that saith unto Tziyon, Thy G-d reigneth!","Izajasz 52:7 (ASV) O jak piękne są na górach nogi zwiastuna, ogłaszającego pokój, zwiastuna dobra, ogłaszającego zbawienie, który mówi do Syjonu: Twój Bóg króluje! Izajasz 52:7 (OJB) O jak piękne są na górach stopy Mevasera (Zwiastuna Dobrej Nowiny, Ewangelisty), który ogłasza szalom; który zwiastuje dobro, który ogłasza Yeshuah (Zbawienie); który mówi do Tziyon: Twój Bóg króluje!"
21,2816,what is considered early fall,co jest uważane za wczesną jesień,"Very generally, an early summer bloom could mean any time from May into June; midsummer, late June into early August and late summer anywhere from the end of July to late September. Plants don't know nuthin' about calendars and it is always a bit tricky guestimating when a specific plant is likely to bloom.","Bardzo ogólnie rzecz biorąc, wczesne kwitnienie latem może oznaczać dowolny czas od maja do czerwca; pełnia lata, od końca czerwca do początku sierpnia, a późne lato od końca lipca do końca września. Rośliny nie wiedzą nic o kalendarzach i zawsze jest trochę trudne szacowanie, kiedy dana roślina prawdopodobnie zakwitnie."
22,2924,what causes elevated nitrate levels in aquariums,co powoduje podwyższony poziom azotanów w akwariach,"Overfeeding is the number-one cause of high nitrate levels in aquariums. Overfed fish produce much more waste than normal, and when more food is given than they can take in, the uneaten food rots and produces even more wastes. Overstocking. Keeping too many fish in a tank also leads to problems with accumulated wastes.","Przekarmianie jest przyczyną numer jeden wysokiego poziomu azotanów w akwariach. Przekarmione ryby produkują znacznie więcej odchodów niż normalnie, a gdy podaje się więcej pokarmu niż są w stanie przyjąć, niezjedzony pokarm gnije i wytwarza jeszcze więcej odpadów. Przeciążenie zbiornika. Trzymanie zbyt dużej liczby ryb w zbiorniku również prowadzi do problemów z nagromadzonymi odpadami."
23,3036,is an independent contractor hired by a company entitled to the same non-compete as a normal employee,jest niezależnym wykonawcą zatrudnionym przez firmę uprawnionym do tego samego zakazu konkurencji co normalny pracownik,"Persons who work as real âindependent contractorsâ are not entitled to the same monetary benefits and legal protections as âemployees.â This is because independent contractors are not subject to the same types of restrictions, level of discipline, and fixed work schedules as are employees.","Osoby, które pracują jako prawdziwi „niezależni wykonawcy”, nie są uprawnione do tych samych świadczeń pieniężnych i ochrony prawnej co „pracownicy”. Jest tak dlatego, że niezależni wykonawcy nie podlegają tym samym rodzajom ograniczeń, poziomowi dyscypliny i ustalonym harmonogramom pracy co pracownicy."
24,3146,lyme disease symptoms mood,objawy boreliozy nastrój,"Lyme disease causes depression, which can cause mood swings. Additionally, the pain associated with Lyme is enough to cause patients to become irritable. Lyme disease is a systemic infection that can affect all systems of the human body. This disease is a bacterial infection transmitted by the spirochete, Borrelia burgdorferi.","Borelioza powoduje depresję, która może powodować wahania nastroju. Dodatkowo, ból związany z boreliozą jest wystarczający, aby spowodować, że pacjenci staną się drażliwi. Borelioza jest infekcją ogólnoustrojową, która może wpływać na wszystkie układy ludzkiego ciała. Ta choroba jest infekcją bakteryjną przenoszoną przez krętka Borrelia burgdorferi."
25,3257,what forms the epineurium,co tworzy nasięknę,"The layer of the epineurium that extends within the nerve to define the fascicles is termed the internal epineurium. Together, these two layers form the epineurium, which varies in thickness along the course of a nerve. The epineurium is usually most abundant around joints, as its function is to protect the nerves from stretching and subsequent injury.","Warstwa nasięknia, która rozciąga się wewnątrz nerwu, aby określić pęczki, jest nazywana nasięknem wewnętrznym. Razem te dwie warstwy tworzą nasięknę, którego grubość zmienia się wzdłuż przebiegu nerwu. Nasięknę jest zwykle najbardziej obfite wokół stawów, ponieważ jego funkcją jest ochrona nerwów przed rozciąganiem i późniejszym uszkodzeniem."
26,3368,an alpha helix is an example of which protein structure?,helisa alfa jest przykładem której struktury białkowej?,A level chemistry resource. Protein structure The a-helix. Secondary structure (continued) We can describe the arrangement of a,Zasób do chemii na poziomie A. Struktura białkowa Helisa a. Struktura drugorzędowa (ciąg dalszy) Możemy opisać ułożenie
27,3382,aggregate demand curve,krzywa zagregowanego popytu,"(Technically, in the context of aggregate demand, the Y on the horizontal axis represents aggregate expenditure .) As it turns out, the aggregate demand curve also slopes downwards, giving a similar negative relationship between price and quantity that exists with the demand curve for a single good.","(Mówiąc technicznie, w kontekście zagregowanego popytu, Y na osi poziomej reprezentuje zagregowane wydatki.) Jak się okazuje, krzywa zagregowanego popytu również opada, dając podobną ujemną zależność między ceną a ilością, jaka istnieje w przypadku krzywej popytu na pojedyncze dobro."
28,3597,what county is ackley iowa in,w jakim hrabstwie jest ackley iowa,"Ackley, Iowa. Ackley is a city in Franklin and Hardin Counties in the U.S. state of Iowa. The population was 1,589 at the 2010 census.","Ackley, Iowa. Ackley to miasto w hrabstwach Franklin i Hardin w stanie Iowa w Stanach Zjednoczonych. Liczba ludności wynosiła 1589 podczas spisu w 2010 roku."
29,3702,"weather in medellin, colombia","pogoda w medellin, kolumbia",Home > Colombia > Climate MedellÃ­n. Medellin in Colombia officially has a tropical monsoon climate. The driest period is from December until February. Medellin has an average temperature ranging between 15 and 30 degrees Celcius (59 and 86 degrees Fahrenheit) which means lower temperatures than other cities with a tropical monsoon climate.,"Strona główna > Kolumbia > Klimat Medellín. Medellin w Kolumbii oficjalnie ma klimat tropikalny monsunowy. Najsuchszy okres trwa od grudnia do lutego. Medellin ma średnią temperaturę wahającą się między 15 a 30 stopni Celsjusza (59 i 86 stopni Fahrenheita), co oznacza niższe temperatury niż w innych miastach z tropikalnym klimatem monsunowym."
30,3815,what is adiabatic?,co to jest adiabatyczny?,"Adiabatic cooling is the process of reducing heat through a change in air pressure caused by volume expansion. In data centers and other facilities, adiabatic processes have enabled free cooling methods, which use freely available natural phenomena to regulate temperature. The principle of adiabatic cooling has been harnessed to develop cooling units that can save industry millions of liters of water.","Chłodzenie adiabatyczne to proces redukcji ciepła poprzez zmianę ciśnienia powietrza spowodowaną rozprężaniem objętościowym. W centrach danych i innych obiektach procesy adiabatyczne umożliwiły stosowanie darmowych metod chłodzenia, które wykorzystują swobodnie dostępne zjawiska naturalne do regulacji temperatury. Zasada chłodzenia adiabatycznego została wykorzystana do opracowania jednostek chłodzących, które mogą zaoszczędzić przemysłowi miliony litrów wody."
31,3923,how much does a lipid panel cost,ile kosztuje panel lipidowy,"The charge for a lipid panel ranged from $10 to $10,169. Hospital prices for a basic metabolic panel (which doctors use to measure the body's metabolism) were $35 at one facility â and $7,303 at another.",Opłata za panel lipidowy wahała się od 10 do 10 169 dolarów. Ceny szpitalne za podstawowy panel metaboliczny (którego lekarze używają do pomiaru metabolizmu organizmu) wynosiły 35 dolarów w jednej placówce — a 7303 dolarów w innej.
32,4029,what is a nrr noise reduction rating mean,co oznacza ocena redukcji hałasu nrr,NRR STANDS FOR NOISE REDUCTION RATING. NRR (noise reduction rating) is a single number rating method which describes a hearing protection device (HPD) based on how much the overall noise level is reduced by the HPD. Most noise measurements in the industry are derived from the A-weighting scale.,"NRR OZNACZA OCENĘ REDUKCJI HAŁASU. NRR (ocena redukcji hałasu) to metoda oceny za pomocą pojedynczej liczby, która opisuje środek ochrony słuchu (HPD) w oparciu o to, jak bardzo całkowity poziom hałasu jest redukowany przez HPD. Większość pomiarów hałasu w przemyśle pochodzi ze skali ważenia A."
33,4251,fibroid symptoms after menopause,objawy mięśniaków po menopauzie,"Some of the uterine fibroid symptoms that may still persist after menopause include: 1  Pelvic pressure: You may continue to experience severe pain similar to cramps before a period.  Urinary urgency: If the fibroids are pushing on the bladder, it can cause you to have to urinate frequently.","Niektóre z objawów mięśniaków macicy, które mogą wciąż utrzymywać się po menopauzie, obejmują: 1  Ucisk w miednicy: Możesz nadal odczuwać silny ból podobny do skurczów przed miesiączką.  Parcie na pęcherz: Jeśli mięśniaki uciskają na pęcherz, może to powodować konieczność częstego oddawania moczu."
34,4360,what are the requirements for neurologist,jakie są wymagania dla neurologa,Neurologist Education Requirements. 1  One has to complete an undergraduate degree before applying for neurology courses. 2  This requires four years of medical school. 3  One can become a Medical Doctor or a Doctor of Osteopathy.,Wymagania Edukacyjne dla Neurologa. 1 Należy ukończyć studia licencjackie przed aplikacją na kursy neurologii. 2 Wymaga to czterech lat studiów medycznych. 3 Można zostać Doktorem Medycyny lub Doktorem Osteopatii.
35,4462,meaning of ..bann..,znaczenie ..zakaz..,Meaning: An official prohibition or edict against something. Classified under: Nouns denoting communicative processes and contents. Synonyms: forbidding; banning; forbiddance; ban. Hypernyms (ban is a kind of...): prohibition (refusal to approve or assent to) Hyponyms (each of the following is a kind of ban):,Znaczenie: Oficjalny zakaz lub edykt przeciwko czemuś. Skategoryzowane jako: Rzeczowniki oznaczające procesy i treści komunikacyjne. Synonimy: zabranianie; zakazywanie; zakaz. Hiperonimy (ban jest rodzajem...): prohibicja (odmowa zaaprobowania lub wyrażenia zgody). Hiponimy (każdy z poniższych jest rodzajem ban):
36,4583,watts & browning engineers,watts & browning engineers,"Watts & Browning Engineers is located in Marietta, Georgia. This organization primarily operates in the Consulting Engineer business / industry within the Engineering, Accounting, Research, and Management Services sector. This organization has been operating for approximately 72 years.","Watts & Browning Engineers ma swoją siedzibę w Marietta, w stanie Georgia. Organizacja ta działa głównie w branży / dziedzinie działalności Consulting Engineer w ramach sektora Usługi Inżynieryjne, Księgowe, Badawcze i Zarządcze. Organizacja ta działa od około 72 lat."
37,4698,how long was jack denison dorothy dandridge married,jak długo jack denison i dorothy dandridge byli małżeństwem,Dorothy Dandridge and Jack Denison. Jack Denison and Dorothy Dandridge were married for 3 years. They dated for 1 year after getting together in Jun 1958 and married on 22nd Jun 1959. 3 years later they divorced on 20th Dec 1962.,"Dorothy Dandridge i Jack Denison. Jack Denison i Dorothy Dandridge byli małżeństwem przez 3 lata. Spotykali się przez 1 rok po tym, jak zeszli się w czerwcu 1958 i pobrali 22 czerwca 1959. 3 lata później rozwiedli się 20 grudnia 1962."
39,4918,what does lease to purchase on car mean?,co oznacza leasing z opcją kupna na samochód?,Leasing a vehicle basically means you borrow the vehicle from the dealership for a fixed amount to pay every month you lease it. The most common lease I believe is 3 years. You also have a certain amount of miles you have to stay under for the time you are leasing the car.,"Leasingowanie pojazdu zasadniczo oznacza, że pożyczasz pojazd od dealera za stałą kwotę do zapłaty każdego miesiąca, przez który go leasingujesz. Najczęstszy leasing, w co wierzę, to 3 lata. Masz również określoną liczbę mil, pod którą musisz się utrzymywać przez czas leasingowania samochodu."
41,5250,what does fb mean on a ring,co oznacza fb na pierścionku,Best Answer: The .925 does mean sterling silver and the FB may be a Hallmark. You did not state what is on the medallion so I don't know where it was made. On some silver items the FB stands for Franz Bibus a Czech silversmith.,"Najlepsza odpowiedź: Oznaczenie .925 rzeczywiście oznacza srebro próby 925, a FB może być puncem. Nie napisałeś, co jest na medalionie, więc nie wiem, gdzie został wykonany. Na niektórych srebrnych przedmiotach FB oznacza Franza Bibusa, czeskiego mistrza srebrnictwa."
42,5359,what causes elevation in ast (sgot),co powoduje podwyższenie ast (sgot),"Chronic and acute alcohol use also can commonly cause abnormal liver blood tests. In alcoholic hepatitis, the range of liver tests can vary greatly. In chronic alcohol liver disease or alcoholic cirrhosis, slight elevation of ALT and AST may be observed, whereas in acute alcoholic hepatitis, high liver enzyme numbers are often seen.","Przewlekłe i ostre spożywanie alkoholu również może często powodować nieprawidłowe wyniki badań krwi wątroby. W alkoholowym zapaleniu wątroby zakres badań wątroby może się bardzo różnić. W przewlekłej alkoholowej chorobie wątroby lub marskości alkoholowej można zaobserwować nieznaczne podwyższenie ALT i AST, podczas gdy w ostrym alkoholowym zapaleniu wątroby często obserwuje się wysokie wartości enzymów wątrobowych."
43,5469,what is garlic used for,do czego jest używany czosnek,"Garlic is an herb. It is best known as a flavoring for food. But over the years, garlic has been used as a medicine to prevent or treat a wide range of diseases and conditions. The fresh clove or supplements made from the clove are used for medicine.Garlic is used for many conditions related to the heart and blood system.These conditions include high blood pressure, high cholesterol, coronary heart disease, heart attack, and âhardening of the arteriesâ (atherosclerosis).arlic produces a chemical called allicin. This is what seems to make garlic work for certain conditions. Allicin also makes garlic smell. Some products are made âodorlessâ by aging the garlic, but this process can also make the garlic less effective.","Czosnek jest ziołem. Jest najlepiej znany jako przyprawa do żywności. Ale na przestrzeni lat czosnek był używany jako lekarstwo do zapobiegania lub leczenia szerokiego zakresu chorób i schorzeń. Do celów medycznych używa się świeżego ząbka lub suplementów wykonanych z ząbka.Czosnek jest używany w wielu schorzeniach związanych z sercem i układem krwionośnym.Te schorzenia obejmują wysokie ciśnienie krwi, wysoki cholesterol, chorobę wieńcową serca, zawał serca i „stwardnienie tętnic” (miażdżycę).Czosnek wytwarza związek chemiczny o nazwie allicyna. To właśnie ona wydaje się sprawiać, że czosnek działa na niektóre schorzenia. Allicyna sprawia również, że czosnek pachnie. Niektóre produkty są robione „bezzapachowe” przez starzenie czosnku, ale ten proces może również sprawić, że czosnek będzie mniej skuteczny."
43,5470,what is garlic used for,do czego jest używany czosnek,"Garlic (Allium sativum), a herb used widely as a flavoring in cooking, has also been used as a medicine throughout ancient and modern history to prevent and treat a wide range of conditions and diseases. Garlic belongs to the onion genus Allium, and is closely related to the onion, rakkyo, chive, leek, and shallot.arlic is a popular ingredient in cooking and may also have some health benefits. The original Olympic athletes in Ancient Greece were given garlic-possibly the earliest example of performance enhancing agents used in sports.","Czosnek (Allium sativum), zioło powszechnie używane jako przyprawa w gotowaniu, był również stosowany jako lek w całej starożytnej i nowożytnej historii w celu zapobiegania i leczenia szerokiego spektrum schorzeń i chorób. Czosnek należy do rodzaju cebuli Allium i jest blisko spokrewniony z cebulą, rakkyo, szczypiorkiem, porami i szalotką. Czosnek jest popularnym składnikiem w gotowaniu i może również mieć pewne korzyści zdrowotne. Pierwotnym olimpijskim sportowcom w starożytnej Grecji podawano czosnek – prawdopodobnie najwcześniejszy przykład środków zwiększających wydolność stosowanych w sporcie."
44,5585,definition of legal term injunctive relief,definicja terminu prawnego środek zaskarżenia,"Injunction Law and Legal Definition. Injunctive relief consists of a court order called an injunction, requiring an individual to do or not do a specific action. It is an extraordinary remedy that courts utilize in special cases where preservation of the status quo or taking some specific action is required in order to prevent possible injustice.","Definicja prawna i prawna nakazu. Środek zaskarżenia składa się z nakazu sądowego zwanego nakazem, wymagającego od jednostki wykonania lub niepodjęcia określonego działania. Jest to nadzwyczajny środek zaradczy, którego sądy używają w szczególnych przypadkach, gdy zachowanie status quo lub podjęcie jakiegoś konkretnego działania jest wymagane w celu zapobieżenia możliwej niesprawiedliwości."
